地區,大廈名單,個案最後到訪日期,相關個案編號
中西區,荷李活華庭A座,05/07/2022,
中西區,創業中心A座,05/07/2022,
中西區,華冠大廈,05/07/2022,
中西區,愛都大廈2座,05/07/2022,
中西區,嘉兆臺3座,05/07/2022,
中西區,嘉富大廈B座,05/07/2022,
中西區,聚安樓,05/07/2022,
中西區,曉峯閣1座,05/07/2022,
中西區,曉譽,05/07/2022,
中西區,中亞大樓,04/07/2022,
中西區,五福大廈A座,04/07/2022,
中西區,四季滙,04/07/2022,
中西區,正德大廈,04/07/2022,
中西區,永樂街233號,04/07/2022,
中西區,列堤頓道33號,04/07/2022,
中西區,百好大樓,04/07/2022,
中西區,西街41號,04/07/2022,
中西區,西邊街13-17號,04/07/2022,
中西區,居仁閣,04/07/2022,
中西區,明愛大廈,04/07/2022,
中西區,珍珠閣A座,04/07/2022,
中西區,珍珠閣B座,04/07/2022,
中西區,皇后大道西20號,04/07/2022,
中西區,皇后大道西306號,04/07/2022,
中西區,眀徳山,04/07/2022,
中西區,美意居,04/07/2022,
中西區,家安大廈,04/07/2022,
中西區,般咸道18號,04/07/2022,
中西區,雍慧閣,04/07/2022,
中西區,嘉兆臺4座,04/07/2022,
中西區,嘉賢大廈,04/07/2022,
中西區,慧華閣,04/07/2022,
中西區,蔚然,04/07/2022,
中西區,蔚巒閣1座,04/07/2022,
中西區,豫苑2座,04/07/2022,
中西區,錦明閣,04/07/2022,
中西區,聯友新樓,04/07/2022,
中西區,藝里坊1號,04/07/2022,
中西區,CM+壹棠酒店及服務式公寓,03/07/2022,
中西區,中興閣,03/07/2022,
中西區,世銀花苑,03/07/2022,
中西區,皇后大道西11號,03/07/2022,
中西區,皇后大道西208號,03/07/2022,
中西區,皇后大道西28號,03/07/2022,
中西區,皇后大道西308號,03/07/2022,
中西區,皇后大道西40號,03/07/2022,
中西區,美新樓A座,03/07/2022,
中西區,堅尼地城消防局,03/07/2022,
中西區,堅道129-133號大成大廈,03/07/2022,
中西區,華麗都會酒店,03/07/2022,
中西區,源輝閣,03/07/2022,
中西區,達隆名居,03/07/2022,
中西區,嘉輝花園C座,03/07/2022,
中西區,樂新大廈,03/07/2022,
中西區,薈臻,03/07/2022,
中西區,羅便臣道80號2座,03/07/2022,
中西區,麗豪閣B座,03/07/2022,
中西區,觀龍樓F座,03/07/2022,
中西區,Eight South Lane,02/07/2022,
中西區,平安大廈,02/07/2022,
中西區,匡景居,02/07/2022,
中西區,安榮大廈,02/07/2022,
中西區,西浦,02/07/2022,
中西區,杏彤苑,02/07/2022,
中西區,怡景苑,02/07/2022,
中西區,東輝花園福澤樓,02/07/2022,
中西區,東邊街25號,02/07/2022,
中西區,金祐商業大廈,02/07/2022,
中西區,柏道2號,02/07/2022,
中西區,皇后大道西380號,02/07/2022,
中西區,般柏苑,02/07/2022,
中西區,御花園2座,02/07/2022,
中西區,添寶閣,02/07/2022,
中西區,發利樓,02/07/2022,
中西區,結志街26號,02/07/2022,
中西區,華輝閣,02/07/2022,
中西區,雅賢軒,02/07/2022,
中西區,裕新大廈2座,02/07/2022,
中西區,嘉苑,02/07/2022,
中西區,嘉富麗苑2座,02/07/2022,
中西區,福熙苑,02/07/2022,
中西區,翠安閣,02/07/2022,
中西區,蔚庭軒,02/07/2022,
中西區,聯威新樓,02/07/2022,
中西區,寶林閣,02/07/2022,
中西區,The Icon,01/07/2022,
中西區,The Jervois,01/07/2022,
中西區,大皇大廈,01/07/2022,
中西區,五福大廈B座,01/07/2022,
中西區,太生大廈,01/07/2022,
中西區,正大花園,01/07/2022,
中西區,伊利近街4號,01/07/2022,
中西區,均益大廈2期D座,01/07/2022,
中西區,屈地大廈,01/07/2022,
中西區,屈地街22-28號,01/07/2022,
中西區,玫瑰別墅,01/07/2022,
中西區,金珀苑,01/07/2022,
中西區,金陵閣B座,01/07/2022,
中西區,建益大樓,01/07/2022,
中西區,晉逸精品酒店中環,01/07/2022,
中西區,栢道25號政府宿舍A座,01/07/2022,
中西區,國基大廈,01/07/2022,
中西區,御花園1座,01/07/2022,
中西區,御景臺,01/07/2022,
中西區,富匯豪庭2座,01/07/2022,
中西區,新城大樓,01/07/2022,
中西區,輝鴻閣,01/07/2022,
中西區,麗豪閣A座,01/07/2022,
中西區,63 Pokfulam 1座,30/06/2022,
中西區,Holly Court,30/06/2022,
中西區,均益大廈2期A座,30/06/2022,
中西區,怡豐閣,30/06/2022,
中西區,東慶閣,30/06/2022,
中西區,金城樓,30/06/2022,
中西區,金陵閣A座,30/06/2022,
中西區,威利大廈,30/06/2022,
中西區,建南大廈,30/06/2022,
中西區,皇后大道西22號,30/06/2022,
中西區,皇后大道西240號,30/06/2022,
中西區,美新樓B座,30/06/2022,
中西區,倚雲山莊,30/06/2022,
中西區,時樂花園,30/06/2022,
中西區,晨光大廈,30/06/2022,
中西區,清暉大廈,30/06/2022,
中西區,普頓臺,30/06/2022,
中西區,景怡居,30/06/2022,
中西區,新成大廈,30/06/2022,
中西區,嘉輝大廈,30/06/2022,
中西區,德輔道西278號,30/06/2022,
中西區,遮打堂,30/06/2022,
中西區,曉峰閣雋巒,30/06/2022,
中西區,鴨巴甸街23號,30/06/2022,
中西區,薄扶林道31號,30/06/2022,
中西區,麗怡大廈,30/06/2022,
中西區,卑路乍街37號海傍大廈,29/06/2022,
中西區,帝后華庭1座,29/06/2022,
中西區,皇后大道西345A號,29/06/2022,
中西區,皇后大道西365號,29/06/2022,
中西區,峰景花園,29/06/2022,
中西區,高樂花園,29/06/2022,
中西區,康威花園A座,29/06/2022,
中西區,麥當奴大廈,29/06/2022,
中西區,傲翔灣畔,29/06/2022,
中西區,新中環大廈,29/06/2022,
中西區,福苑2座,29/06/2022,
中西區,翠苑,29/06/2022,
中西區,德仁大廈,29/06/2022,
中西區,豐樂閣,29/06/2022,
中西區,寶玉閣,29/06/2022,
中西區,寶雅山,29/06/2022,
東區,大來大廈,12/07/2022,
東區,小西灣邨瑞明樓,12/07/2022,
東區,小西灣邨瑞泰樓,12/07/2022,
東區,小西灣邨瑞益樓,12/07/2022,
東區,小西灣邨瑞隆樓,12/07/2022,
東區,丹拿花園1座,12/07/2022,
東區,五洲大廈,12/07/2022,
東區,天寶大廈,12/07/2022,
東區,太古城北海閣,12/07/2022,
東區,太古城金星閣,12/07/2022,
東區,太古城恆天閣,12/07/2022,
東區,太古城華山閣,12/07/2022,
東區,太古城逸天閣,12/07/2022,
東區,太古城漢宮閣,12/07/2022,
東區,太古城銀星閣,12/07/2022,
東區,太古城興安閣,12/07/2022,
東區,太古城衞星閣,12/07/2022,
東區,太古城寶山閣,12/07/2022,
東區,太明樓,12/07/2022,
東區,太富樓,12/07/2022,
東區,北角台,12/07/2022,
東區,杏花邨35座,12/07/2022,
東區,杏花邨36座,12/07/2022,
東區,杏花邨40座,12/07/2022,
東區,杏花邨47座,12/07/2022,
東區,杏花邨50座,12/07/2022,
東區,明華大廈1座,12/07/2022,
東區,東旭苑東麗閣,12/07/2022,
東區,東泰大廈,12/07/2022,
東區,東發大廈A座,12/07/2022,
東區,東熹苑景熹閣,12/07/2022,
東區,東熹苑華熹閣,12/07/2022,
東區,東熹苑耀熹閣,12/07/2022,
東區,東霖苑,12/07/2022,
東區,東濤苑旭濤閣,12/07/2022,
東區,東濤苑曉濤閣,12/07/2022,
東區,東駿苑金駿閣,12/07/2022,
東區,東寶大廈,12/07/2022,
東區,南天大廈,12/07/2022,
東區,南豐新邨8座,12/07/2022,
東區,城市花園11座,12/07/2022,
東區,香島1座,12/07/2022,
東區,峻峰花園B座,12/07/2022,
東區,峻峰花園E座,12/07/2022,
東區,悅翠苑,12/07/2022,
東區,柴灣已婚警察宿舍1座,12/07/2022,
東區,海安大廈,12/07/2022,
東區,海景樓,12/07/2022,
東區,消防處柴灣員佐級已婚人員宿舍,12/07/2022,
東區,益發大廈,12/07/2022,
東區,高威閣4座,12/07/2022,
東區,高望大樓,12/07/2022,
東區,健康村紅桃樓,12/07/2022,
東區,健康村銀杏樓,12/07/2022,
東區,堅信樓,12/07/2022,
東區,康山花園10座,12/07/2022,
東區,康山花園9座,12/07/2022,
東區,康怡花園F座,12/07/2022,
東區,康怡花園J座,12/07/2022,
東區,康怡花園N座,12/07/2022,
東區,康怡花園Q座,12/07/2022,
東區,康景花園C座,12/07/2022,
東區,康翠臺1座,12/07/2022,
東區,康翠臺2座,12/07/2022,
東區,康翠臺4座,12/07/2022,
東區,康翠臺6座,12/07/2022,
東區,康樂大廈,12/07/2022,
東區,清暉臺,12/07/2022,
東區,凱雁台,12/07/2022,
東區,富怡花園2座,12/07/2022,
東區,富怡花園3座,12/07/2022,
東區,富景花園8座,12/07/2022,
東區,惠利大廈,12/07/2022,
東區,愛東邨愛逸樓,12/07/2022,
東區,愛東邨愛寶樓,12/07/2022,
東區,新成中心,12/07/2022,
東區,新成中心A座,12/07/2022,
東區,新翠花園1座,12/07/2022,
東區,新翠花園5座,12/07/2022,
東區,筲箕灣中心1座,12/07/2022,
東區,嘉兆大廈,12/07/2022,
東區,嘉亨灣2座,12/07/2022,
東區,漁灣邨漁順樓,12/07/2022,
東區,翠灣邨翠寧樓,12/07/2022,
東區,樂翠臺2座,12/07/2022,
東區,曉翠苑雅翠閣,12/07/2022,
東區,澤鑾閣,12/07/2022,
東區,興民邨民逸樓,12/07/2022,
東區,興東邨興祖樓,12/07/2022,
東區,興東邨興康樓,12/07/2022,
東區,興東邨興豐樓,12/07/2022,
東區,興華邨興翠樓,12/07/2022,
東區,錦屏樓,12/07/2022,
東區,環翠邨利翠樓,12/07/2022,
東區,環翠邨澤翠樓,12/07/2022,
東區,賽西湖大廈13座,12/07/2022,
東區,賽西湖大廈8座,12/07/2022,
東區,藍灣半島6座,12/07/2022,
東區,豐華大廈,12/07/2022,
東區,鯉景大廈,12/07/2022,
東區,鯉景灣怡昌閣,12/07/2022,
東區,鯉景灣逸康閣,12/07/2022,
東區,鯉景灣觀峰閣,12/07/2022,
東區,耀東邨興祖樓,12/07/2022,
東區,耀東邨耀安樓,12/07/2022,
東區,耀東邨耀昌樓,12/07/2022,
東區,耀東邨耀明樓,12/07/2022,
東區,耀東邨耀富樓,12/07/2022,
東區,耀東邨耀興樓,12/07/2022,
東區,譽都,12/07/2022,
東區,小西灣邨瑞強樓,11/07/2022,
東區,小西灣邨瑞盛樓,11/07/2022,
東區,山翠苑翠珮閣,11/07/2022,
東區,太古城東海閣,11/07/2022,
東區,太古城唐宮閣,11/07/2022,
東區,太古城高安閣,11/07/2022,
東區,太古城隋宮閣,11/07/2022,
東區,太古城碧藤閣,11/07/2022,
東區,太古城龍山閣,11/07/2022,
東區,太古城耀星閣,11/07/2022,
東區,百福花園百利閣,11/07/2022,
東區,百福花園百勝閣,11/07/2022,
東區,宏德居德禧樓,11/07/2022,
東區,杏花邨20座,11/07/2022,
東區,佳翠苑耀翠閣,11/07/2022,
東區,和景閣,11/07/2022,
東區,怡家洋樓,11/07/2022,
東區,怡翠苑逸怡閣,11/07/2022,
東區,怡翠苑暢怡閣,11/07/2022,
東區,東旭苑東景閣,11/07/2022,
東區,東旭苑東緻閣,11/07/2022,
東區,東旺樓,11/07/2022,
東區,東欣苑歡欣閣,11/07/2022,
東區,東發大廈D座,11/07/2022,
東區,欣景花園3座,11/07/2022,
東區,南豐新邨5座,11/07/2022,
東區,恒景園,11/07/2022,
東區,香苑大廈,11/07/2022,
東區,峰華邨曉峰樓,11/07/2022,
東區,柴灣邨灣畔樓,11/07/2022,
東區,栢蕙苑瑞栢閣,11/07/2022,
東區,海山樓,11/07/2022,
東區,高威閣3座,11/07/2022,
東區,健康村康達閣,11/07/2022,
東區,健康邨康智閣,11/07/2022,
東區,健康邨康輝閣,11/07/2022,
東區,康山花園10座,11/07/2022,
東區,康山花園3座,11/07/2022,
東區,康山花園7座,11/07/2022,
東區,康怡花園R座,11/07/2022,
東區,康景花園A座,11/07/2022,
東區,康福園B座,11/07/2022,
東區,康翠臺3座,11/07/2022,
東區,康蕙花園1座,11/07/2022,
東區,富怡花園5座,11/07/2022,
東區,富欣花園3座,11/07/2022,
東區,富景花園6座,11/07/2022,
東區,富雅花園金楓閣,11/07/2022,
東區,富澤花園富嘉閣,11/07/2022,
東區,富澤花園富慧閣,11/07/2022,
東區,景翠苑,11/07/2022,
東區,華興大廈,11/07/2022,
東區,逸樺園1座,11/07/2022,
東區,逸濤灣夏池軒,11/07/2022,
東區,愛蝶灣10座,11/07/2022,
東區,新成中心C座,11/07/2022,
東區,新和富大廈,11/07/2022,
東區,新威園C座,11/07/2022,
東區,新威園E座,11/07/2022,
東區,新翠花園3座,11/07/2022,
東區,僑冠大廈A座,11/07/2022,
東區,嘉亨灣5座,11/07/2022,
東區,嘉亨灣6座,11/07/2022,
東區,漁灣邨漁進樓,11/07/2022,
東區,福昌樓,11/07/2022,
東區,維港頌1座,11/07/2022,
東區,翠灣邨翠康樓,11/07/2022,
東區,興民邨民富樓,11/07/2022,
東區,興民邨民澤樓,11/07/2022,
東區,興華邨卓華樓,11/07/2022,
東區,興華邨樂興樓,11/07/2022,
東區,環翠邨怡翠樓,11/07/2022,
東區,賽西湖大廈7座,11/07/2022,
東區,鯉景灣安曉閣,11/07/2022,
東區,寶峰園B座,11/07/2022,
東區,寶馬山花園12座,11/07/2022,
東區,寶馬山花園3座,11/07/2022,
東區,繼園街22號,11/07/2022,
東區,耀東邨耀輝樓,11/07/2022,
東區,小西灣邨瑞樂樓,10/07/2022,
東區,小茅舍,10/07/2022,
東區,山翠苑翠琳閣,10/07/2022,
東區,中興大廈,10/07/2022,
東區,丹拿花園2座,10/07/2022,
東區,丹拿花園4座,10/07/2022,
東區,丹拿花園5座,10/07/2022,
東區,太古城元宮閣,10/07/2022,
東區,太古城青松閣,10/07/2022,
東區,太古城春櫻閣,10/07/2022,
東區,太古城泰山閣,10/07/2022,
東區,太古城富天閣,10/07/2022,
東區,太古城翠榕閣,10/07/2022,
東區,太古城鄱陽閣,10/07/2022,
東區,太安樓,10/07/2022,
東區,永利中心B座,10/07/2022,
東區,永利中心C座,10/07/2022,
東區,光超台B座,10/07/2022,
東區,安翠閣,10/07/2022,
東區,利基大廈,10/07/2022,
東區,宏暉大廈,10/07/2022,
東區,宏德居德祿樓,10/07/2022,
東區,杏花邨21座,10/07/2022,
東區,杏花邨38座,10/07/2022,
東區,杏花邨46座,10/07/2022,
東區,杏花邨49座,10/07/2022,
東區,杏翠苑翠晶閣,10/07/2022,
東區,宜必思香港北角酒店,10/07/2022,
東區,延齡大廈,10/07/2022,
東區,東旭苑東寧閣,10/07/2022,
東區,東盛苑,10/07/2022,
東區,東發大廈B座,10/07/2022,
東區,東濤苑,10/07/2022,
東區,東濤苑映濤閣,10/07/2022,
東區,欣景花園4座,10/07/2022,
東區,金堡大廈A座,10/07/2022,
東區,南豐新邨11座,10/07/2022,
東區,南豐新邨1座,10/07/2022,
東區,南豐新邨2座,10/07/2022,
東區,城市花園12座,10/07/2022,
東區,城市花園13座,10/07/2022,
東區,城市花園4座,10/07/2022,
東區,建華花園,10/07/2022,
東區,柴灣工業城1期,10/07/2022,
東區,柴灣邨灣映樓,10/07/2022,
東區,海天峰2座,10/07/2022,
東區,海峯園高峯閣,10/07/2022,
東區,高威閣2座,10/07/2022,
東區,健康村康勝閣,10/07/2022,
東區,康怡花園C座,10/07/2022,
東區,康怡花園P座,10/07/2022,
東區,康福園A座,10/07/2022,
東區,富怡花園4座,10/07/2022,
東區,富家閣,10/07/2022,
東區,景輝大廈,10/07/2022,
東區,華蘭花園玉蘭閣,10/07/2022,
東區,逸濤灣冬和軒,10/07/2022,
東區,愛東邨愛善樓,10/07/2022,
東區,愛東邨愛澤樓,10/07/2022,
東區,愛蝶灣,10/07/2022,
東區,愛蝶灣3座,10/07/2022,
東區,愛蝶灣4座,10/07/2022,
東區,愛蝶灣5座,10/07/2022,
東區,新威園,10/07/2022,
東區,新翠花園2座,10/07/2022,
東區,新翠花園4座,10/07/2022,
東區,僑冠大廈,10/07/2022,
東區,嘉亨灣1座,10/07/2022,
東區,嘉亨灣3座,10/07/2022,
東區,翠灣邨翠壽樓,10/07/2022,
東區,翠灣邨翠福樓,10/07/2022,
東區,樂軒臺2座,10/07/2022,
東區,樂軒臺5座,10/07/2022,
東區,模範邨民康樓,10/07/2022,
東區,濱海大廈,10/07/2022,
東區,環翠邨貴翠樓,10/07/2022,
東區,藍灣半島1座,10/07/2022,
東區,藍灣半島8座,10/07/2022,
東區,藍灣半島9座,10/07/2022,
東區,鯉景灣怡茵閣,10/07/2022,
東區,麗東海景豪苑2座,10/07/2022,
東區,寶石樓,10/07/2022,
東區,寶峰園A座,10/07/2022,
東區,寶峰閣,10/07/2022,
東區,寶馬山花園2座,10/07/2022,
東區,大成樓,09/07/2022,
東區,公主大廈,09/07/2022,
東區,天悅筲箕灣廣場1座,09/07/2022,
東區,太古城建安閣,09/07/2022,
東區,太古城恒山閣,09/07/2022,
東區,太古城海星閣,09/07/2022,
東區,太古城啟天閣,09/07/2022,
東區,形薈2座,09/07/2022,
東區,杏花邨37座,09/07/2022,
東區,杏花邨39座,09/07/2022,
東區,杏花邨43座,09/07/2022,
東區,亞洲大廈,09/07/2022,
東區,佳翠苑顯翠閣,09/07/2022,
東區,和富大樓,09/07/2022,
東區,明園大廈2期B座,09/07/2022,
東區,東安大廈,09/07/2022,
東區,東欣苑榮欣閣,09/07/2022,
東區,東熹苑逸熹閣,09/07/2022,
東區,東駿苑銀駿閣,09/07/2022,
東區,南豐新邨6座,09/07/2022,
東區,城市花園1座,09/07/2022,
東區,城市花園2座,09/07/2022,
東區,威德閣,09/07/2022,
東區,建康花園,09/07/2022,
東區,美麗閣,09/07/2022,
東區,英麗閣,09/07/2022,
東區,香島3座,09/07/2022,
